flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-11-29,scheduled,CA1258,INC,null,PVG,null
2020-11-29,scheduled,MU3605,CIF,null,TAO,null
2020-11-29,scheduled,AI1929,DXB,null,DEL,null
2020-11-29,scheduled,CF9005,NKG,null,SJW,null
2020-11-29,active,Y87943,TSN,null,NGB,null
2020-11-29,active,AZ5721,AUH,null,KUL,10
2020-11-29,scheduled,YG9042,HGH,null,MNL,null
2020-11-29,active,AF4020,NRT,null,NOU,3
2020-11-29,active,JL5370,NRT,null,NOU,3
2020-11-29,active,SB800,NRT,null,NOU,3
2020-11-29,unknown,QF7528,CHC,null,AKL,null
2020-11-29,scheduled,GX8843,AEB,null,NNG,null
2020-11-29,landed,DZ6259,HAK,null,SZX,8
2020-11-29,scheduled,O37053,ICN,null,CTU,null
2020-11-29,landed,QF7523,CHC,5,AKL,12
2020-11-29,landed,NZ8092,AKL,null,TUO,1
2020-11-29,scheduled,YG9004,HGH,null,XIY,null
2020-11-29,active,LH8459,FRA,6,HKG,33
2020-11-29,unknown,LH8458,FRA,null,HKG,null
2020-11-29,active,AY5095,MEL,null,HKG,21
2020-11-29,active,BA4567,MEL,null,HKG,21
2020-11-29,active,LH7013,MEL,null,HKG,21
2020-11-29,active,LX9513,MEL,null,HKG,21
2020-11-29,active,QR5830,MEL,null,HKG,21
2020-11-29,active,OM5613,MEL,null,HKG,21
2020-11-29,active,CX105,MEL,null,HKG,21
2020-11-29,active,CF9033,NKG,null,XIY,null
2020-11-29,scheduled,GI4032,XNN,null,XIY,null
2020-11-29,active,GI4021,CAN,null,XIY,null
2020-11-29,unknown,GJ8135,SZX,null,DLC,null
2020-11-29,unknown,GJ6013,TSN,null,DLC,null
2020-11-29,scheduled,CF9065,NKG,null,XMN,null
2020-11-29,unknown,O36995,HGH,null,XMN,null
2020-11-29,active,O37201,FRA,null,WUH,null
2020-11-29,active,GI4105,SJW,null,LYG,null
2020-11-29,unknown,O37156,SGN,null,NNG,null
2020-11-29,scheduled,O37131,DEL,null,SZX,null
2020-11-29,active,CZ443,LAX,null,PVG,10
2020-11-29,scheduled,O36877,PEK,null,PVG,null
2020-11-29,scheduled,O36882,SZX,69,PVG,85
2020-11-29,active,QF7528,SYD,null,CHC,null
2020-11-29,landed,QF8491,GIS,null,AKL,6
2020-11-29,scheduled,R3467,SVX,null,YKS,null
2020-11-29,unknown,GJ8713,SJW,null,HRB,null
2020-11-29,scheduled,GJ8137,WUH,null,HRB,null
2020-11-29,scheduled,VJ270,HPH,null,SGN,null
2020-11-29,unknown,GJ8143,CAN,null,SHE,null
2020-11-29,active,SQ2929,ZRH,1,SIN,23
2020-11-29,active,LX177,ZRH,1,SIN,23
2020-11-29,scheduled,HT3809,KHN,null,CGO,null
2020-11-29,scheduled,7L76,GYD,null,CGO,null
2020-11-29,scheduled,GI4027,HAN,null,CGO,null
2020-11-29,landed,O36921,HGH,null,CGO,34
2020-11-29,scheduled,GI4113,HFE,null,CGO,null
2020-11-29,unknown,GJ8149,CGO,null,CGQ,null
2020-11-29,active,GI4031,XIY,null,XNN,null
2020-11-29,unknown,KE325,XIY,null,ICN,null
2020-11-29,active,AT9735,DOH,null,ICN,null
2020-11-29,active,OZ6889,DOH,null,ICN,null
2020-11-29,active,S74042,DOH,null,ICN,null
2020-11-29,active,QR859,DOH,null,ICN,null
2020-11-29,active,OZ6931,IST,1,ICN,null
2020-11-29,active,PK5091,IST,1,ICN,null
2020-11-29,active,TK91,IST,1,ICN,null
2020-11-29,active,KL856,AMS,null,ICN,7
2020-11-29,landed,PO245,PVG,null,ICN,15
2020-11-29,scheduled,OZ987,PVG,null,ICN,295
2020-11-29,active,NH203,FRA,33,HND,47
2020-11-29,landed,GJ5064,CTU,null,XNN,28
2020-11-29,scheduled,YG9061,CTU,null,HGH,null
2020-11-29,scheduled,Y87933,PEK,40,HGH,null
2020-11-29,active,O36935,SZX,null,HGH,null
2020-11-29,scheduled,CF9017,NKG,null,KMG,null
2020-11-29,cancelled,NH312,HND,null,TOY,null
2020-11-29,active,Y87490,PVG,null,TSN,null
2020-11-29,active,Y87492,PVG,null,TSN,null
2020-11-29,active,Y87458,PVG,null,TSN,null
2020-11-29,active,GI4023,SZX,null,TSN,null
2020-11-29,scheduled,YG9025,CAN,null,TSN,null
2020-11-29,unknown,CF9101,NKG,null,TSN,null
2020-11-29,active,JL8746,NRT,null,MNL,14
2020-11-29,scheduled,LH7015,FRA,null,HKG,55
2020-11-29,scheduled,CX289,FRA,null,HKG,55
2020-11-29,active,CX271,AMS,null,HKG,40
2020-11-29,active,CX6,NRT,null,HKG,3
2020-11-29,landed,DL7916,ICN,null,HKG,8
2020-11-29,landed,KE608,ICN,null,HKG,8
2020-11-29,active,AA8930,SFO,null,HKG,19
2020-11-29,active,MH9198,SFO,null,HKG,19
2020-11-29,active,CX872,SFO,null,HKG,19
2020-11-29,scheduled,OZ9662,ICN,null,HKG,null
2020-11-29,scheduled,RS502,ICN,null,HKG,null
2020-11-29,scheduled,7C3105,ICN,null,GUM,null
2020-11-29,scheduled,RS102,ICN,null,GUM,null
2020-11-29,cancelled,G9348,SHJ,null,FRU,null
2020-11-29,scheduled,O36965,SZX,null,KHN,null
2020-11-29,unknown,O36955,HGH,null,WUH,null
2020-11-29,scheduled,GI4033,SZX,null,WUX,null
2020-11-29,scheduled,O36868,SZX,null,WUX,null
2020-11-29,active,CF9027,NKG,null,WEF,null
