flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-12-03,scheduled,O36943,HGH,null,KMG,null
2020-12-03,scheduled,U68906,KUF,null,OSS,null
2020-12-03,scheduled,VA9583,BNE,null,SYD,null
2020-12-03,scheduled,O36884,SZX,null,CTU,null
2020-12-03,scheduled,YG9018,INC,null,XIY,null
2020-12-03,scheduled,QF7448,ADL,null,SYD,null
2020-12-03,scheduled,NH5341,ADD,null,ICN,null
2020-12-03,scheduled,O37023,HGH,null,TYN,null
2020-12-03,scheduled,KE249,PVG,null,ICN,null
2020-12-03,scheduled,QF7337,LST,null,MEL,null
2020-12-03,active,LH9777,SIN,null,MEL,null
2020-12-03,scheduled,QF7350,BNE,null,MEL,null
2020-12-03,active,TK9311,SIN,null,MEL,null
2020-12-03,active,UK8218,SIN,null,MEL,null
2020-12-03,active,VA5516,SIN,null,MEL,null
2020-12-03,active,SQ218,SIN,null,MEL,null
2020-12-03,active,QR4968,KUL,null,MEL,null
2020-12-03,active,MH128,KUL,null,MEL,null
2020-12-03,scheduled,VA9562,LST,null,MEL,null
2020-12-03,scheduled,QF7382,BNE,null,MEL,null
2020-12-03,scheduled,VA9581,SYD,null,MEL,null
2020-12-03,scheduled,O37002,TSN,null,WUX,null
2020-12-03,scheduled,QF7434,MEL,null,SYD,null
2020-12-03,scheduled,QF7405,MEL,null,SYD,null
2020-12-03,scheduled,R3409,DYR,null,GDX,null
2020-12-03,active,MH144,KUL,null,AKL,null
2020-12-03,scheduled,QF7412,BNE,null,SYD,null
2020-12-03,scheduled,CF9091,NKG,null,CGO,null
2020-12-03,scheduled,O36955,HGH,null,WUH,null
2020-12-03,scheduled,O37169,HGH,null,TAO,null
2020-12-03,scheduled,PO238,SYD,null,GUM,null
2020-12-03,scheduled,NZ8287,WLG,null,GIS,null
2020-12-03,scheduled,QF7338,MEL,null,LST,null
2020-12-03,scheduled,OZ909,WUH,null,ICN,null
2020-12-03,scheduled,LA5276,DOH,null,HAN,null
2020-12-03,scheduled,HT3811,WEH,null,TSN,null
2020-12-03,scheduled,HT3813,WEH,null,TSN,null
2020-12-03,scheduled,O36972,HGH,null,TSN,null
