"flight_status","departure_airport","arrival_airport","flight_number","flight_date"
"scheduled","CKG","KMG","3U8514","2021-10-09"
"active","IXB","HYD","6E6036","2021-10-09"
"scheduled","SHJ","DEL","6E9316","2021-10-09"
"scheduled","SVX","MJZ","6R550","2021-10-09"
"scheduled","DAC","GYD","7L534","2021-10-09"
"scheduled","ICN","CEB","8Y601","2021-10-09"
"scheduled","ICN","KLO","8Y701","2021-10-09"
"active","FIH","MDK","8Z644","2021-10-09"
"scheduled","CAN","LHW","9C6231","2021-10-09"
"scheduled","CAN","SHA","9C8930","2021-10-09"
"landed","KOJ","HND","AA7239","2021-10-09"
"scheduled","ZRH","MAD","AA8700","2021-10-09"
"scheduled","CGK","HKG","AA8918","2021-10-09"
"scheduled","ZRH","ZAG","AC2982","2021-10-09"
"scheduled","ZRH","OSL","AC6857","2021-10-09"
"scheduled","FRA","BCN","AC9288","2021-10-09"
"scheduled","CMB","AUH","AF3806","2021-10-09"
"scheduled","NBO","EBB","AF8201","2021-10-09"
"scheduled","BEG","TIA","AF9735","2021-10-09"
"scheduled","CMB","DEL","AI284","2021-10-09"
"scheduled","CGK","DPS","AM7411","2021-10-09"
"active","CAN","WUX","AQ1023","2021-10-09"
"scheduled","CAN","HAK","AQ1025","2021-10-09"
"cancelled","CAN","KWE","AQ1027","2021-10-09"
"landed","CAN","CGO","AQ1029","2021-10-09"
"scheduled","CAN","SHE","AQ1031","2021-10-09"
"scheduled","CAN","NKG","AQ1033","2021-10-09"
"active","CAN","NGB","AQ1035","2021-10-09"
"scheduled","CAN","DLC","AQ1037","2021-10-09"
"scheduled","CAN","TSN","AQ1055","2021-10-09"
"scheduled","CAN","HET","AQ1057","2021-10-09"
"cancelled","CAN","JHG","AQ1103","2021-10-09"
"active","CAN","XIY","AQ1105","2021-10-09"
"scheduled","CAN","WNZ","AQ1257","2021-10-09"
"scheduled","CAN","RLK","AQ1421","2021-10-09"
"scheduled","CAN","HRB","AQ1447","2021-10-09"
"cancelled","CAN","FOC","AQ1503","2021-10-09"
"scheduled","CAN","AVA","AQ1527","2021-10-09"
"active","CAN","YYA","AQ1535","2021-10-09"
"scheduled","DME","AER","AT9028","2021-10-09"
"scheduled","JFK","SAL","AV567","2021-10-09"
"landed","AYT","IST","AY3312","2021-10-09"
"scheduled","MEL","HKG","AY5844","2021-10-09"
"scheduled","BEG","TIA","AZ2512","2021-10-09"
"scheduled","CMB","AUH","AZ5791","2021-10-09"
"scheduled","KUL","DOH","B66521","2021-10-09"
"scheduled","MEL","HKG","BA4140","2021-10-09"
"scheduled","LHR","LIS","BA500","2021-10-09"
"scheduled","KUL","DOH","BA5817","2021-10-09"
"scheduled","MEL","KUL","BA7388","2021-10-09"
"scheduled","CKG","KMG","BK5324","2021-10-09"
"scheduled","AKL","CHC","BR3215","2021-10-09"
"cancelled","AKL","ZQN","BR3265","2021-10-09"
"cancelled","AKL","ZQN","BR3285","2021-10-09"
"cancelled","AKL","WLG","BR3359","2021-10-09"
"scheduled","BOH","RHO","BY6624","2021-10-09"
"scheduled","AMD","BOM","BZ481","2021-10-09"
"scheduled","PEK","NKG","CA1083","2021-10-09"
"scheduled","CAN","NKG","CA1089","2021-10-09"
"cancelled","CAN","PEK","CA1386","2021-10-09"
"scheduled","CAN","LZO","CA4352","2021-10-09"
"scheduled","PVG","ANC","CA8413","2021-10-09"
"scheduled","KMG","BKK","CF219","2021-10-09"
"scheduled","LHW","NKG","CF9001","2021-10-09"
"scheduled","CSX","NKG","CF9007","2021-10-09"
"scheduled","CAN","PVG","CF9035","2021-10-09"
"scheduled","TAO","NKG","CF9045","2021-10-09"
"scheduled","HGH","CAN","CF9081","2021-10-09"
"scheduled","HGH","PKX","CF9085","2021-10-09"
"scheduled","PVG","SIN","CK281","2021-10-09"
"scheduled","MEL","HKG","CX178","2021-10-09"
"scheduled","PVG","CGO","CX50","2021-10-09"
"active","CAN","DAX","CZ3263","2021-10-09"
"scheduled","CAN","KMG","CZ3493","2021-10-09"
"scheduled","CAN","FRA","CZ469","2021-10-09"
"scheduled","CAN","XUZ","CZ4711","2021-10-09"
"active","CAN","ANC","CZ477","2021-10-09"
"scheduled","CAN","STN","CZ491","2021-10-09"
"cancelled","CAN","XFN","CZ5659","2021-10-09"
"scheduled","CAN","WXN","CZ8253","2021-10-09"
"active","CAN","CTU","CZ8647","2021-10-09"
"active","ZQZ","SJW","CZ9751","2021-10-09"
"scheduled","ZRH","LPA","DE1178","2021-10-09"
"scheduled","NBO","EBB","DL7530","2021-10-09"
"scheduled","NBO","EBB","DL9145","2021-10-09"
"scheduled","SVO","UFA","DP6501","2021-10-09"
"scheduled","SVO","PEE","DP6515","2021-10-09"
"landed","ALA","DXB","EK2423","2021-10-09"
"landed","BNE","GLT","EK5253","2021-10-09"
"active","BNE","BDB","EK5558","2021-10-09"
"scheduled","CMB","DXB","EK649","2021-10-09"
"scheduled","CAN","KMG","EK7438","2021-10-09"
"scheduled","AKL","WLG","EK7559","2021-10-09"
"scheduled","FRA","HEL","ET1574","2021-10-09"
"active","PMI","HAJ","EW5410","2021-10-09"
"scheduled","LIS","TER","EY1598","2021-10-09"
"scheduled","CMB","AUH","EY265","2021-10-09"
"cancelled","AKL","WLG","EY4599","2021-10-09"
"scheduled","AKL","CHC","EY4689","2021-10-09"
"cancelled","AKL","ZQN","EY4739","2021-10-09"
"cancelled","AKL","ZQN","EY4747","2021-10-09"
"scheduled","SUV","LBS","FJ1032","2021-10-09"
"scheduled","NAN","SYD","FJ1911","2021-10-09"
"cancelled","LBS","SUV","FJ2035","2021-10-09"
"scheduled","AKL","WLG","FJ5531","2021-10-09"
"landed","FOC","SHA","FM9206","2021-10-09"
"scheduled","PMI","SDR","FR2660","2021-10-09"
"scheduled","ATH","CHQ","FR3923","2021-10-09"
"scheduled","PMI","MAN","FR9037","2021-10-09"
"scheduled","KIX","ANC","FX5016","2021-10-09"
"scheduled","MEL","KUL","FY7146","2021-10-09"
"landed","ALA","DXB","FZ1722","2021-10-09"
"scheduled","CAN","XIY","G56623","2021-10-09"
"scheduled","SHJ","JAI","G9435","2021-10-09"
"scheduled","SHJ","KTM","G9537","2021-10-09"
"scheduled","SUB","DPS","GA3444","2021-10-09"
"scheduled","HGH","CGO","GI4035","2021-10-09"
"scheduled","CAN","LYG","GI4103","2021-10-09"
"scheduled","BKK","CGO","GI4206","2021-10-09"
"scheduled","CAN","XUZ","GJ8059","2021-10-09"
"active","CAN","YNT","GJ8061","2021-10-09"
"scheduled","HGH","XFN","GJ8127","2021-10-09"
"scheduled","CAN","INC","GJ8575","2021-10-09"
"scheduled","HET","SZX","GJ8716","2021-10-09"
"scheduled","CAN","HGH","GJ8990","2021-10-09"
"landed","KOJ","NRT","GK622","2021-10-09"
"scheduled","ATH","LHR","GQ700","2021-10-09"
"scheduled","FUK","HND","HA5141","2021-10-09"
"landed","SHM","HND","HA5908","2021-10-09"
"scheduled","CAN","SHA","HO1046","2021-10-09"
"cancelled","CAN","XIY","HO5861","2021-10-09"
"scheduled","JJN","WUX","HT3806","2021-10-09"
"cancelled","CAN","WNZ","HU7221","2021-10-09"
"landed","CAN","DOY","HU7259","2021-10-09"
"scheduled","CAN","PVG","HU7331","2021-10-09"
"scheduled","CKG","MAN","HU7953","2021-10-09"
"scheduled","TAS","IST","HY7271","2021-10-09"
"scheduled","KJA","UUS","HZ4745","2021-10-09"
"scheduled","ZRH","MAD","IB3477","2021-10-09"
"scheduled","KUL","DOH","IB7945","2021-10-09"
"scheduled","SUB","UPG","ID6136","2021-10-09"
"scheduled","DPS","SUB","ID8131","2021-10-09"
"scheduled","SUB","UPG","ID8192","2021-10-09"
"scheduled","DPS","SUB","IN261","2021-10-09"
"scheduled","DPS","SOC","IN475","2021-10-09"
"scheduled","MHD","THR","IV25","2021-10-09"
"scheduled","SHJ","BOM","IX252","2021-10-09"
"scheduled","MAA","KWI","J91428","2021-10-09"
"active","CAN","SJW","JD5117","2021-10-09"
"scheduled","CAN","LJG","JD5131","2021-10-09"
"scheduled","CAN","CKG","JD5227","2021-10-09"
"scheduled","FUK","KMI","JL3625","2021-10-09"
"landed","KOJ","TNE","JL3763","2021-10-09"
"landed","KKX","KOJ","JL3780","2021-10-09"
"landed","KOJ","NRT","JL6086","2021-10-09"
"landed","KOJ","HND","JL644","2021-10-09"
"scheduled","AKL","WLG","JQ253","2021-10-09"
"scheduled","AKL","DUD","JQ269","2021-10-09"
"scheduled","DPS","CGK","JT43","2021-10-09"
"cancelled","DPS","SUB","JT923","2021-10-09"
"scheduled","BEG","SKP","JU166","2021-10-09"
"scheduled","CMB","AUH","JU7512","2021-10-09"
