
Pr,Deposit_ID                      ,Deposit_DT         ,Database_ID,Snapshot_ID,Snapshot_Begin_DT  ,Snapshot_End_DT    ,Snapshot_Sec,  vCPU_Num,  vCPU_Sec,vCPU_DB_FRGD_Sec,vCPU_DB_FRGD_Pct,vCPU_DB_FRGD_Num,vCPU_DB_BKGD_Sec,vCPU_DB_BKGD_Pct,vCPU_DB_BKGD_Num,vCPU_DB_Sec,vCPU_DB_Pct,vCPU_DB_Num,vCPU_OS_Sec,vCPU_OS_Pct,vCPU_OS_Num,Mem_SGA_Shared_Pool_GB,Mem_SGA_Large_Pool_GB,Mem_SGA_Java_Pool_GB,Mem_SGA_Buffer_Cache_GB,Mem_SGA_Log_Buffer_GB,Mem_SGA_GB,Mem_PGA_GB,    Mem_GB,MBPS_App_Reads,MBPS_Sys_Reads,MBPS_Tot_Reads,MBPS_App_Writes,MBPS_Sys_Writes,MBPS_Tot_Writes,MBPS_Tot_App,MBPS_Tot_Sys,  MBPS_Tot, MBPS_INTC,IOPS_App_Reads,IOPS_Sys_Reads,IOPS_Tot_Reads,IOPS_App_Writes,IOPS_Sys_Writes,IOPS_Tot_Writes,IOPS_Tot_App,IOPS_Tot_Sys,  IOPS_Tot,      MBPS                                             
--,--------------------------------,-------------------,-----------,-----------,-------------------,-------------------,------------,----------,----------,----------------,----------------,----------------,----------------,----------------,----------------,-----------,-----------,-----------,-----------,-----------,-----------,----------------------,---------------------,--------------------,-----------------------,---------------------,----------,----------,----------,--------------,--------------,--------------,---------------,---------------,---------------,------------,------------,----------,----------,--------------,--------------,--------------,---------------,---------------,---------------,------------,------------,----------,----------                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1090,2022-10-14 14:00:12,2022-10-14 14:26:11,        1559,         2,      3118,      733.397836,      .235214187,      .470428375,      859.426394,      .275633866,      .551267732, 1592.82423, .510848053, 1.02169611,    1677.83, .538110969, 1.07622194,            1.15444174,           .062042236,              .03125,                 7.9375,           .054458618, 9.2396926,.405366898, 9.6450595,    1.93849723,    47.0793008,     49.017798,     79.7591956,     169.317191,     249.076386,  81.6976928,  216.396491,298.094184,298.094184,    1395.39705,    42.9307248,    1438.32777,     4137.40795,     2459.52726,     6596.93521,    5532.805,  2502.45799,8035.26299, 36.582697                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1089,2022-10-14 13:26:05,2022-10-14 14:00:12,        2047,         2,      4094,      1043.71642,      .254938061,      .509876122,      1238.17744,      .302437089,      .604874179, 2281.89387,  .55737515,  1.1147503,    2382.61, .581976063, 1.16395213,            1.15563258,           .062042236,              .03125,                 7.9375,           .054458618,9.24088343,.550902367, 9.7917858,    6.90537982,    46.4066598,    53.3120396,      80.203457,     170.910361,     251.113818,  87.1088369,  217.317021,304.425858,304.425858,    1657.59697,    42.5578896,    1700.15486,     4103.72008,     2211.59355,     6315.31363,  5761.31705,  2254.15144,8015.46849,37.7061597                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1088,2022-10-14 13:24:37,2022-10-14 13:26:05,          88,         2,       176,        3.136164,      .017819114,      .035638227,       26.951086,       .15313117,      .306262341,   30.08725, .170950284, .341900568,      33.69, .191420455, .382840909,            1.15942508,           .062042236,              .03125,                 7.9375,           .054458618,9.24467593,.439406395,9.68408233,    3.76864347,    1.11337003,    4.88201349,     .023792614,     .288840142,     .312632756,  3.79243608,  1.40221017,5.19464625,5.19464625,    85.4431818,    41.0340909,    126.477273,     1.34090909,     22.8181818,     24.1590909,  86.7840909,  63.8522727,150.636364,.022259365                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1087,2022-10-14 12:37:24,2022-10-14 13:00:29,        1385,         2,      2770,        29.69612,      .010720621,      .021441242,       30.935179,      .011167935,      .022335869,  60.631299, .021888556, .043777111,      78.14, .028209386, .056418773,            1.16448966,           .062042236,              .03125,                7.96875,           .023208618,9.24974052,.300210953,9.54995147,    .251128159,    .153840323,    .404968482,     .006374097,     37.0737364,     37.0801105,  .257502256,  37.2275768, 37.485079, 37.485079,    6.07364621,    3.18267148,    9.25631769,     .335018051,     39.4353791,     39.7703971,  6.40866426,  42.6180505,49.0267148,.002955338                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1086,2022-10-14 11:00:43,2022-10-14 12:00:58,        3615,         2,      7230,         .070664,      9.7737E-06,      .000019547,       26.588873,      .003677576,      .007355152,  26.659537,  .00368735, .007374699,      40.52, .005604426, .011208852,             1.1726841,           .062042236,              .03125,                7.96875,           .023208618,9.25793495,.307998657,9.56593361,             0,    .035358316,    .035358316,     .003131483,     .014007796,      .01713928,  .003131483,  .049366112,.052497596,.052497596,             0,    2.30594744,    2.30594744,     .242047026,      1.8461964,     2.08824343,  .242047026,  4.15214385,4.39419087,.001098872                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1085,2022-10-14 10:00:28,2022-10-14 11:00:43,        3615,         2,      7230,         .040551,      5.6087E-06,      .000011217,       26.664492,      .003688035,       .00737607,  26.705043, .003693644, .007387287,      38.36, .005305671, .010611342,            1.17268827,           .062042236,              .03125,                7.96875,           .023208618,9.25793912,.307327271,9.56526639,    2.1611E-06,    .035392894,    .035395055,     .003099066,     .013981593,     .017080659,  .003101228,  .049374487,.052475714,.052475714,     .00055325,    2.30788382,    2.30843707,     .226002766,     1.84840941,     2.07441217,  .226556017,  4.15629322,4.38284924,.001096863                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1084,2022-10-14 09:00:13,2022-10-14 10:00:28,        3615,         2,      7230,         .063239,      8.7467E-06,      .000017493,       26.552971,       .00367261,       .00734522,   26.61621, .003681357, .007362714,       40.1, .005546335, .011092669,            1.17260586,           .062042236,              .03125,                7.96875,           .023208618,9.25785671,.309090614,9.56694733,             0,    .035304288,    .035304288,     .002947787,     .013966465,     .016914252,  .002947787,  .049270752,.052218539,.052218539,    .000276625,    2.30235131,    2.30262794,     .238727524,     1.85089903,     2.08962656,  .239004149,  4.15325035, 4.3922545, .00107566                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1083,2022-10-14 08:00:58,2022-10-14 09:00:13,        3555,         2,      7110,         .043991,      6.1872E-06,      .000012374,       26.116528,      .003673211,      .007346421,  26.160519, .003679398, .007358796,      38.74, .005448664, .010897328,            1.17269667,           .062042236,              .03125,                7.96875,           .023208618,9.25794753,.308364868, 9.5663124,    4.3952E-06,    .035410074,    .035414469,     .002872275,     .013947538,     .016819813,   .00287667,  .049357611,.052234282,.052234282,    .000562588,    2.30914205,    2.30970464,     .229535865,     1.84585091,     2.07538678,  .230098453,  4.15499297,4.38509142,.001076715                                             
9B,6A1A21945EBED1678F22E33518BF3BD1,2022-10-14 14:31:21, 2005902057,       1082,2022-10-14 07:00:43,2022-10-14 08:00:58,        3615,         2,      7230,         .061945,      8.5678E-06,      .000017136,       26.967551,      .003729952,      .007459903,  27.029496,  .00373852, .007477039,      39.19,  .00542047, .010840941,            1.17270089,           .062042236,              .03125,                7.96875,           .023208618,9.25795174,.308120728,9.56607247,    2.1611E-06,    .035302127,    .035304288,     .002986687,      .01401428,     .017000967,  .002988849,  .049316406,.052305255,.052305255,    .000276625,    2.30235131,    2.30262794,     .228492393,     1.84757953,     2.07607192,  .228769018,  4.14993084,4.37869986,.001093305                                             
