flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
"2020-11-30","scheduled","ZH2713","KWE",null,"XMN",16
"2020-11-30","scheduled","SU4675","ITM",null,"HND",null
"2020-11-30","scheduled","BA4649","ITM",null,"HND",null
"2020-11-30","scheduled","AF8192","ITM",null,"HND",null
"2020-11-30","scheduled","HA5029","ITM",null,"HND",null
"2020-11-30","scheduled","JL2157","AOJ",null,"ITM",null
"2020-11-30","scheduled","NH783","NGS",null,"ITM",null
"2020-11-30","cancelled","NH1611","KCZ",null,"ITM",null
"2020-11-30","cancelled","NH507","KMI",null,"ITM",null
"2020-11-30","scheduled","NH1643","MYJ",null,"ITM",null
"2020-11-30","scheduled","NH1487","OIT",null,"ITM",null
"2020-11-30","scheduled","JL124","HND",null,"ITM",null
"2020-11-30","scheduled","UK2124","HND",null,"ITM",null
"2020-11-30","scheduled","HA5030","HND",null,"ITM",null
"2020-11-30","scheduled","AA8461","HND",null,"ITM",null
"2020-11-30","scheduled","QR6094","HND",null,"ITM",null
"2020-11-30","scheduled","JL2009","CTS",null,"ITM",null
"2020-11-30","scheduled","HA5451","CTS",null,"ITM",null
"2020-11-30","scheduled","NH425","FUK",null,"ITM",null
"2020-11-30","scheduled","JL2209","SDJ",null,"ITM",null
"2020-11-30","scheduled","JL2409","KOJ",null,"ITM",null
"2020-11-30","scheduled","NH547","KOJ",null,"ITM",null
"2020-11-30","scheduled","NH30","HND",null,"ITM",null
"2020-11-30","scheduled","AC6243","HND",null,"ITM",null
"2020-11-30","cancelled","HA5028","HND",null,"ITM",null
"2020-11-30","active","KY9446","CAN",null,"CTU",null
"2020-11-30","active","CA3880","CAN",null,"CTU",null
"2020-11-30","active","3U2376","CAN",null,"CTU",null
"2020-11-30","active","ZH4101","PEK",null,"CTU",1
"2020-11-30","active","EU7001","KGT",null,"CTU",null
"2020-11-30","active","CZ9043","KGT",null,"CTU",null
"2020-11-30","active","CA3980","BPX",null,"CTU",null
"2020-11-30","active","ZH3716","BPX",null,"CTU",null
"2020-11-30","active","GJ5060","BPX",null,"CTU",null
"2020-11-30","active","SC6080","BPX",null,"CTU",null
"2020-11-30","scheduled","HA5479","NGO",null,"CTS",null
"2020-11-30","scheduled","NH4728","HND",null,"CTS",null
"2020-11-30","scheduled","ZO4048","THR",null,"ZAH",null
"2020-11-30","scheduled","B9975","THR",null,"ZAH",null
"2020-11-30","cancelled","CZ4181","INC",null,"CSX",null
"2020-11-30","scheduled","HO5785","KMG",null,"CSX",null
"2020-11-30","scheduled","HO5818","NKG",null,"CSX",null
"2020-11-30","scheduled","6E2427","DEL",null,"JDH",null
"2020-11-30","scheduled","MF1088","CAN",null,"XIY",null
"2020-11-30","scheduled","ZH1232","PEK",null,"XIY",null
"2020-11-30","scheduled","UA7572","PEK",null,"XIY",null
"2020-11-30","scheduled","NZ3990","PEK",null,"XIY",null
"2020-11-30","scheduled","AC6629","PEK",null,"XIY",null
"2020-11-30","scheduled","G52928","AKA",null,"XIY",null
