flight_date, flight_status, flight_iata, arrival_iata, arrival_delay, departure_iata, departure_delay
2020-12-02,scheduled,Y5505,MDL,null,RGN,null
2020-12-02,scheduled,JQ665,MEL,null,AYQ,null
2020-12-02,scheduled,ZH2559,CIH,null,XMN,10
2020-12-02,cancelled,MU5586,PVG,null,WNZ,null
2020-12-02,landed,O37169,HGH,null,TAO,null
2020-12-02,active,TY201,LIF,9,GEA,11
2020-12-02,scheduled,Y87942,PVG,null,TSN,null
2020-12-02,landed,CA1064,PVG,null,KIX,null
2020-12-02,scheduled,YG9004,HGH,null,XIY,null
2020-12-02,unknown,QF7337,LST,null,MEL,null
2020-12-02,scheduled,QF7350,BNE,null,MEL,null
2020-12-02,landed,QR4968,KUL,null,MEL,17
2020-12-02,landed,MH128,KUL,null,MEL,17
2020-12-02,scheduled,VA9562,LST,null,MEL,null
2020-12-02,landed,QF7382,BNE,17,MEL,19
2020-12-02,scheduled,VA9581,SYD,null,MEL,null
2020-12-02,landed,AF4020,NRT,null,NOU,2
2020-12-02,landed,JL5370,NRT,null,NOU,2
2020-12-02,landed,SB800,NRT,null,NOU,2
2020-12-02,scheduled,QF7434,MEL,null,SYD,null
2020-12-02,unknown,QF7405,MEL,null,SYD,null
2020-12-02,active,QF7404,SYD,null,BNE,null
2020-12-02,unknown,QF7438,ADL,null,BNE,null
2020-12-02,unknown,QF7432,MEL,null,BNE,null
2020-12-02,scheduled,CF216,YIW,null,KIX,173
2020-12-02,unknown,Y87430,NGB,null,KIX,null
2020-12-02,scheduled,J9540,KWI,null,KTM,null
2020-12-02,landed,CA1087,NKG,null,SHE,null
2020-12-02,unknown,QF7342,BNE,null,MEL,null
2020-12-02,active,QF7422,SYD,null,MEL,null
2020-12-02,unknown,QF7394,PER,null,MEL,null
2020-12-02,landed,QF7310,BNE,30,MEL,53
2020-12-02,unknown,QF7494,SYD,null,MEL,null
2020-12-02,cancelled,7C2252,PUS,null,BKK,null
2020-12-02,active,QF7338,MEL,null,LST,null
2020-12-02,unknown,CF9075,NKG,null,TNA,null
2020-12-02,scheduled,7L122,GYD,null,ICN,null
2020-12-02,active,QF7412,BNE,null,SYD,null
2020-12-02,landed,QF7523,CHC,31,AKL,35
2020-12-02,active,LH4921,FRA,5,HND,29
2020-12-02,active,NH203,FRA,5,HND,29
2020-12-02,scheduled,O37023,HGH,null,TYN,null
2020-12-02,landed,QF7423,ADL,41,MEL,40
2020-12-02,landed,EY4580,CHC,9,ZQN,14
2020-12-02,unknown,YG9005,CTU,null,HGH,null
2020-12-02,scheduled,Y87912,PVG,null,XMN,null
2020-12-02,scheduled,SQ2929,ZRH,23,SIN,21
2020-12-02,scheduled,LX177,ZRH,23,SIN,21
2020-12-02,unknown,GJ8137,WUH,null,HRB,null
2020-12-02,active,GJ8143,CAN,null,SHE,null
2020-12-02,landed,KE5776,ICN,2,GUM,29
2020-12-02,landed,LJ642,ICN,2,GUM,29
2020-12-02,unknown,CF9033,NKG,null,XIY,null
2020-12-02,unknown,GI4032,XNN,null,XIY,null
2020-12-02,scheduled,MU5795,KMG,null,SYM,null
2020-12-02,unknown,VA9561,MEL,null,LST,null
2020-12-02,scheduled,O37131,DEL,95,SZX,230
2020-12-02,active,O36884,SZX,null,CTU,null
2020-12-02,active,GI4105,SJW,null,LYG,null
2020-12-02,scheduled,O36877,PEK,null,PVG,78
2020-12-02,active,O36882,SZX,null,PVG,null
2020-12-02,unknown,CZ441,LAX,null,PVG,null
2020-12-02,active,O37156,SGN,null,NNG,null
2020-12-02,unknown,QF7448,ADL,null,SYD,null
2020-12-02,unknown,VA9583,BNE,null,SYD,null
2020-12-02,scheduled,GI4027,HAN,null,CGO,null
2020-12-02,unknown,O36921,HGH,null,CGO,null
2020-12-02,unknown,GI4113,HFE,null,CGO,null
2020-12-02,unknown,GJ8149,CGO,null,CGQ,null
2020-12-02,scheduled,KE323,XIY,99,ICN,128
2020-12-02,active,AT9735,DOH,null,ICN,null
2020-12-02,active,OZ6889,DOH,null,ICN,null
2020-12-02,active,S74042,DOH,null,ICN,null
2020-12-02,active,QR859,DOH,null,ICN,null
2020-12-02,active,OZ6931,IST,13,ICN,3
2020-12-02,active,PK5091,IST,13,ICN,3
2020-12-02,active,TK91,IST,13,ICN,3
2020-12-02,scheduled,KL856,AMS,46,ICN,70
2020-12-02,active,PO7970,HKG,null,ICN,null
2020-12-02,scheduled,OZ987,PVG,null,ICN,300
2020-12-02,scheduled,CF9068,WUH,null,NKG,null
2020-12-02,landed,PO211,PVG,null,NGO,23
2020-12-02,unknown,QF7524,CHC,null,AKL,null
2020-12-02,unknown,O36871,CAN,null,PEK,null
2020-12-02,active,CA3852,SZX,null,HFE,7
2020-12-02,landed,O36945,WUX,null,PEK,6
2020-12-02,active,O36865,HGH,null,PEK,null
2020-12-02,landed,CA1083,NKG,null,PEK,23
2020-12-02,unknown,O36909,SZX,null,PEK,null
2020-12-02,unknown,O36913,HGH,null,PEK,125
2020-12-02,active,N7221,SIN,null,PEN,null
2020-12-02,scheduled,AY5846,HKG,null,PER,null
2020-12-02,scheduled,BA4144,HKG,null,PER,null
2020-12-02,scheduled,QF8237,HKG,null,PER,null
2020-12-02,scheduled,JL7904,HKG,null,PER,null
2020-12-02,scheduled,OM5622,HKG,null,PER,null
2020-12-02,scheduled,CX170,HKG,null,PER,null
2020-12-02,scheduled,GJ5064,CTU,68,XNN,105
2020-12-02,scheduled,GI4021,CAN,null,XIY,null
2020-12-02,landed,TV6948,CTU,null,ENH,null
